,id,tweet,date,user_id,username,name,retweets_count,likes_count,reply_to,quote_url
222,1503808574987935757,"🔐 We've combed through student &amp; alumni reviews to find the 17 Best Cyber Security Bootcamps of 2022, including @Level_Effect, @nexgent, @simplilearn, @Springboard, and @TheBridge_Tech!   https://t.co/t9VCetS80T  https://t.co/uhS3m8KSBT",2022-03-15,1941897590,coursereport,Course Report,2,3,[],
223,1503513313648463877,@PICKYUAN @TheBridge_Tech @PagePersonnel Yo por experiencia te diría que busques otra escuela. Cuando las cosas funcionan bien todo muy bonito ahora cuando no… no hacen nada y te dicen que esto es lo que hay 😅🤦‍♂️,2022-03-15,295720842,soyelsimo,Pep Iberico,0,0,"[{'screen_name': 'PICKYUAN', 'name': 'PICKY', 'id': '414032513'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}, {'screen_name': 'PagePersonnel', 'name': 'Page Personnel FR', 'id': '15998326'}]",
224,1503409219789328384,¡Muy contentos por todos ellos! 100% empleabilidad en la promoción de junio. Gracias desde @TheBridge_Tech por confiar y ponerlo todo tan fácil ¡Felicidades! #fullstackdevelopers #datascientists #digitalmarketers #uxuidesigners #cybersecurityanalysts 🎯💼  https://t.co/R0eGi9QXv5,2022-03-14,1162694149956603904,thebridge_tech,The Bridge,1,3,[],
225,1502360507365400587,"👾La #ciberseguridad, más necesaria que nunca.  El #sectortecnológico pide más financiación y formación de profesionales para evitar ataques a sectores claves para la economía como energía, finanzas y transporte 🔒  https://t.co/OxY8JpRavS",2022-03-11,1162694149956603904,thebridge_tech,The Bridge,0,0,[],
226,1502195577584500740,¿Algún identificado en la sala? 😂  #desarrolloweb #css #fullstackdeveloper,2022-03-11,1162694149956603904,thebridge_tech,The Bridge,0,0,[],https://twitter.com/dinaelurdaneta/status/1501901625241346048
227,1501543878692073472,Faltan por salir las listas de #UXUIProductDesign #DataScience y #DesarrolloWebFullStack ¡Sería estupendo volver a aparecer!,2022-03-09,1162694149956603904,thebridge_tech,The Bridge,0,1,[],
516,1500124541137428490,Día para agradecer a @TheBridge_Tech y @Glovo_ES la oportunidad que han dado a estos dos cracks para formarse con @codeorg en programación por bloques en un curso de 48 horas de duración. Bravo 🙌  🔝🦸🏻‍♂️🦸🏻‍♀️🏭🇪🇸  https://t.co/ZTCrroHQTc,2022-03-05,363153431,pablooliete,Pablo Oliete,0,13,[],
517,1499397980704546831,[Opinión] Por más mujeres líderes en tecnología  https://t.co/FqVeFL1ljq  https://t.co/SFOFIEv1Uo @TheBridge_Tech  https://t.co/kBo9xGdGrU,2022-03-03,742380996688023552,poder_liderazgo,@Poderyliderazgo.cl,0,0,[],
518,1499397820410851332,[Opinión] Por más mujeres líderes en tecnología -  https://t.co/FqVeFL1ljq @TheBridge_Tech  https://t.co/TE5sXsBaAT,2022-03-03,742380996688023552,poder_liderazgo,@Poderyliderazgo.cl,0,0,[],
519,1499395478563155968,"@PICKYUAN @PagePersonnel Sentimos mucho el fallo técnico. Revisaremos que pudo pasar, pueden conectarse a próximos eventos o contactarnos si quieren más información sobre la escuela llamar al 919 01 72 57 ¡Gracias!",2022-03-03,1162694149956603904,thebridge_tech,The Bridge,0,1,"[{'screen_name': 'PICKYUAN', 'name': 'PICKY', 'id': '414032513'}, {'screen_name': 'PagePersonnel', 'name': 'Page Personnel FR', 'id': '15998326'}]",
